version,version_name,start_date,end_date,5_star_character_1,days_since_last_banner_1,rerun_number_1,summons_1,wish_total_1,weapon_1,5_star_character_2,days_since_last_banner_2,rerun_number_2,summons_2,wish_total_2,4_star_character_1,days_since_last_banner_4_1,rerun_number_4_1,4_star_character_2,days_since_last_banner_4_2,rerun_number_4_2,4_star_character_3,days_since_last_banner_4_3,rerun_number_4_3,weapon_2,rerun,mixed,wish_total,revenue,banner_days,avg_revenue
1.0,Welcome to Tevyat,9/25/2020,10/19/2020,Venti,0,0,0,0,Aquila Favonia,N/A,0,0,0,0.00,Barbara,0,0,Xiangling,0,0,Fischl,0,0,Amos' Bow,N,N,0,"30,632,752",25,"1,225,310.08"
1.0,Welcome to Tevyat,10/20/2020,11/10/2020,Klee,0,0,0,0,Lost Prayer to The Sacred Winds,N/A,0,0,0,0.00,Noelle,0,0,Sucrose,0,0,Xingqui,0,0,Wolf's Gravestone,N,N,0,"22,750,080",22,"1,034,094.55"
1.1,A New Star Approaches,11/11/2020,11/30/2020,Tartaglia,0,0,0,0,Skyward Harp,N/A,0,0,0,0.00,Beidou,0,0,Ninguang,0,0,Diona,0,0,Memory of Dust,N,N,0,"13,443,619",20,"672,180.95"
1.1,A New Star Approaches,12/1/2020,12/22/2020,Zhongli,0,0,0,0,The Unforged,N/A,0,0,0,0.00,Chongyun,0,0,Razor,0,0,Xinyan,0,0,Vortex Vanquisher,N,N,0,"16,264,892",22,"739,313.27"
1.2,The Chalk Prince and the Dragon,12/23/2020,12/1/2020,Albedo,0,0,0,0,Summit Shaper,N/A,0,0,0,0.00,Bennett,0,0,Fischl,65,1,Sucrose,43,1,Skyward Atlas,N,N,0,"11,816,107",21,"562,671.76"
1.2,The Chalk Prince and the Dragon,1/13/2021,2/2/2021,Ganyu,0,0,0,0,Amos' Bow,N/A,0,0,0,0.00,Noelle,64,1,Xiangling,86,1,Xingqui,64,1,Skyward Pride,N,N,0,"15,669,918",21,"746,186.57"
1.3,All That Glitters,2/3/2021,2/17/2021,Xiao,0,0,0,0,Primordial Jade Cutter,N/A,0,0,0,0.00,Beidou,65,1,Diona,65,1,Xinyan,43,1,Primordial Jade Winged-Spear,N,N,0,"13,145,115",15,"876,341.00"
1.3,All That Glitters,2/18/2021,3/2/2021,Keqing,0,0,0,0,Primordial Jade Cutter,N/A,0,0,0,0.00,Barbara,122,1,Bennett,79,1,Ninguang,80,1,Primordial Jade Winged-Spear,N,N,0,"9,505,798",13,"731,215.23"
1.3,All That Glitters,3/3/2021,3/16/2021,Hu Tao,0,0,"19,125",1643639,Staff of Homa,N/A,0,0,0,0.00,Chongyun,71,1,Xiangling,29,2,Xingqui,29,2,Wolf's Gravestone,N,N,"1,643,639","12,481,634",14,"891,545.29"
1.4,Invitation to Windblume,3/17/2021,4/6/2021,Venti,149,1,"34,416",3274988,Elegy for the End,N/A,0,0,0,0.00,Noelle,43,2,Razor,85,1,Sucrose,106,2,Skyward Harp,Y,N,"3,274,988","16,614,209",21,"791,152.81"
